week,collection_date,sessions,total_users,new_users,screen_page_views,avg_bounce_rate,avg_session_duration,avg_engagement_rate,countries_reached,total_custom_events,days_collected,monthly_active_users,monthly_sessions,collected_at
2025-W30,2025-07-21,30,14,12,32,0.3021,587.05,0.6979,7,331,6,34,76,2025-11-01T11:08:46.367378
2025-W31,2025-07-28,13,8,3,11,0.125,300.07,0.875,6,95,4,34,76,2025-11-01T11:07:55.660607
2025-W32,2025-08-04,19,9,6,18,0.34,268.8,0.66,4,167,5,34,76,2025-11-01T11:07:59.057155
2025-W33,2025-08-11,10,4,1,8,0.1875,112.5,0.8125,4,32,4,34,76,2025-11-01T11:08:01.792882
2025-W34,2025-08-18,10,9,3,8,0.2333,260.76,0.7667,5,31,5,24,81,2025-08-29T13:08:43.897155
2025-W35,2025-08-25,17,9,2,12,0.275,333.40,0.725,3,47,6,26,79,2025-09-02T12:51:24.121658
2025-W36,2025-09-15,15,10,7,13,0.06,402.52,0.94,6,171,5,34,76,2025-11-01T11:03:32.774744
2025-W37,2025-09-22,9,5,2,7,0.5556,194.49,0.4444,3,75,3,34,76,2025-11-01T11:03:35.363333
2025-W38,2025-09-29,17,6,2,11,0.4722,536.94,0.5278,5,79,6,34,76,2025-11-01T11:03:38.239716
2025-W39,2025-10-06,12,9,5,10,0.5583,252.72,0.4417,6,131,4,34,76,2025-11-01T11:03:40.809611
2025-W40,2025-10-13,23,14,11,17,0.55,146.9,0.45,8,149,5,34,76,2025-11-01T11:03:43.125643
2025-W41,2025-10-20,18,10,6,13,0.7417,22.06,0.2583,7,58,6,34,76,2025-11-01T11:03:45.784095
2025-W42,2025-10-27,17,7,4,17,0.5333,300.71,0.4667,5,107,6,34,76,2025-11-01T11:03:48.488848
2025-W45,2025-11-03,9,7,6,7,0.92,40.34,0.08,4,0,5,,,2025-11-11T17:47:36.685685+00:00
2025-W46,2025-11-10,15,14,7,13,0.7143,158.94,0.2857,6,0,7,,,2025-11-17T03:20:32.256996+00:00
2025-W47,2025-11-17,40,34,28,31,0.765,155.64,0.235,10,0,6,,,2025-11-24T03:37:12.385906+00:00
2025-W48,2025-11-24,22,18,9,16,0.5556,289.93,0.4444,8,0,6,,,2025-12-01T03:54:56.292500+00:00
2025-W49,2025-12-01,15,10,7,11,0.7778,125.88,0.2222,8,0,6,,,2025-12-08T03:26:03.215909+00:00
2025-W50,2025-12-08,25,10,5,11,0.5429,102.18,0.4571,6,0,5,,,2025-12-15T03:45:55.007412+00:00
2025-W51,2025-12-15,23,18,12,17,0.401,259.8,0.599,5,0,5,,,2025-12-22T03:46:45.493102+00:00
2025-W52,2025-12-22,4,4,3,4,0.3333,137.23,0.6667,4,0,3,,,2025-12-29T03:53:17.449166+00:00
